search_id,hit_id,relevant
single,h01,1
single,h02,0
single,h03,1
single,h04,0
single,h05,0
single,h06,1
single,h07,0
single,h08,1
single,h09,0
single,h10,1
single,h11,0
single,h12,1
single,h13,0
single,h14,0
single,h15,1
single,h16,0
single,h17,1
single,h18,0
single,h19,1
single,h20,0
combined,h21,1
combined,h22,1
combined,h23,0
combined,h24,1
combined,h25,1
combined,h26,1
combined,h27,0
combined,h28,1
combined,h29,1
combined,h30,1
combined,h31,0
combined,h32,1
combined,h33,1
combined,h34,1
combined,h35,0
combined,h36,1
combined,h37,1
combined,h38,1
combined,h39,0
combined,h40,1
